review_text,rating,review_date,thumbs_up_count,app_version
good music just way too many ads every other song was three ads,4,2026-06-30 19:34:52,0,9.1.60.1970
Great experience. It would be nice to have more of a variety of commercials on the free version so I'm not hearing a repeat one after another. I plan to get premium soon.,4,2026-06-30 19:34:23,0,9.1.60.1970
I really like setting up a playlist of songs I like. it's very handy and synced across my devices.,5,2026-06-30 19:33:24,0,9.1.60.1970
Spotify is the best app for music but the worst thing is when your trying to listen to music but a bunch of ads start to pop up but other than that it's The best app for music,4,2026-06-30 19:23:11,0,
nice song,5,2026-06-30 19:22:25,0,9.1.60.1970
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,5,2026-06-30 19:21:31,0,
I'm religious n don't want here a song about God n then listen to a advertisement about alcohol n the fact I can't play in the order I want without out paying your advertisement are worse then YouTube but at least it play songs I want in my order without making me pay not worth the temptations of sin to have this app,1,2026-06-30 19:21:25,0,9.1.60.1970
just make more understanding,5,2026-06-30 19:20:44,0,
"I practically live on this app. I have unlimited Data through my cell provider, and have superb internet service at home. why is it that Spotify will randomly go offline, sometimes its an hour before it lets me use it in an online setting. Been with spotify since it was a thing. You make YOUTUBE look more promising by the day. quit fixing stuff that isnt broke, and fix the stuff that is. Yall get damn near 20 bucks a month out of me. it would be nice to jam my online music. when I'm online.",1,2026-06-30 19:20:14,13,9.1.60.1970
super but suddenly coming in online classes,5,2026-06-30 19:20:14,0,9.1.60.1970
"Good Stuff, Maynard!",5,2026-06-30 19:18:08,0,
Very best,5,2026-06-30 19:18:07,0,9.1.60.1970
"Widgets NEEDS work. Your new widget only works half the time and I've had to go through the menu to get into Spotify. Also, I can't understand why I'm paying for premium but still having to listen to ads during podcasts? Make it make sense....",3,2026-06-30 19:16:55,0,9.1.60.1970
i loved using this app,5,2026-06-30 19:16:53,0,9.1.60.1970
never had a problem with it lots of underground hip-hop and mixtapes,4,2026-06-30 19:15:22,0,9.1.34.2060
No premium benefits freely,4,2026-06-30 19:13:02,0,9.1.60.1970
I love the app but some times it's just won't open,4,2026-06-30 19:13:00,0,9.1.58.1567
super songs,5,2026-06-30 19:09:59,0,9.1.42.2058
horrendous app literally stops playing music after ONE song is done playing,1,2026-06-30 19:07:52,0,9.1.60.1970
too many ads i know free users have to watch ads but that's too much you have to cut your ads,3,2026-06-30 19:07:05,0,9.1.60.1970
fire especially with premium,5,2026-06-30 19:05:21,0,9.1.60.1970
good,5,2026-06-30 19:04:02,0,9.1.60.1970
♥️Rounak yadhuvanshi♥️,5,2026-06-30 19:03:29,0,9.1.60.1970
nice,1,2026-06-30 19:03:03,0,
This app is absolutely amazing!!,5,2026-06-30 19:02:42,0,
"Spotify has a huge collection of songs and podcasts. I enjoy listening to music every day, and the app always recommends songs that match my taste. It works really well.",5,2026-06-30 19:02:07,0,9.1.58.1567
great,5,2026-06-30 19:00:16,0,9.1.60.1970
"app is very slow, only app to show that I'm offline when I load it up despite WiFi connection, skipping back or forward multiple songs makes the buttons stop working, adding songs to playlists doesn't work half the time despite it saying ""changes saved"" or ""added X to y playlist""",1,2026-06-30 19:00:05,0,9.1.60.1970
🌚,4,2026-06-30 18:59:20,0,
randomly kicks me out and have to login and don't load any of my Playlist,1,2026-06-30 18:59:07,0,9.1.60.1970
good,5,2026-06-30 18:57:57,0,9.1.60.1970
promotion oriented best experience so far.,4,2026-06-30 18:57:54,0,9.1.58.1567
Good application,5,2026-06-30 18:55:09,0,
the last two days my Spotify won't do anything won't even load just a black screen,1,2026-06-30 18:53:40,0,9.1.60.1970
excellent. lossless. perfect song radio learning of other tunes. thanks spotify,5,2026-06-30 18:53:09,0,9.1.60.1970
show ads after 8 song 🎵 🎶 🎵,5,2026-06-30 18:49:56,0,9.1.50.1906
it was great,5,2026-06-30 18:46:40,0,9.1.60.1970
me encanta y espero poder suscribirme pero cada que abro la computadora se me olvida y desde el cel no puedo.,5,2026-06-30 18:45:36,0,9.1.52.1394
it's a very cool app,5,2026-06-30 18:45:29,0,9.1.60.1970
amazing😍,5,2026-06-30 18:45:22,0,9.0.58.596
It works.,4,2026-06-30 18:40:17,0,9.1.60.1970
the best music app period,5,2026-06-30 18:39:50,0,9.1.60.1970
🤩,5,2026-06-30 18:37:48,0,
excellent servoce,5,2026-06-30 18:36:12,0,9.1.60.1970
hah! now we can't even skip songs without premium what a load of bs this is Spotify and more bunch of things you have messed up this is sooooo muchhhh disappointing. I have been using Spotify from 3 to 4 years and never have been disappointed this much.,1,2026-06-30 18:35:24,0,9.1.60.1970
good,4,2026-06-30 18:35:04,0,9.1.52.1394
taking money for play songs we can play 6 song than take money,1,2026-06-30 18:34:50,0,9.1.60.1970
Spotify has an amazing music library and personalized playlists. The app is easy to use and the sound quality is excellent.,5,2026-06-30 18:29:48,0,9.1.60.1970
🥰,5,2026-06-30 18:28:38,0,9.1.58.1567
only adds problem,5,2026-06-30 18:24:03,0,9.1.52.1394
so cool,5,2026-06-30 18:21:21,0,9.1.60.1970
"Spotify has a great music library and a user-friendly interface, making it easy to discover and enjoy music. However, the free version has far too many ads. The advertisements are too frequent and interrupt the listening experience, making it frustrating to use. Reducing the number of ads or spacing them out better would greatly improve the app. Overall, it's a good platform, but the excessive ads are a major downside.",4,2026-06-30 18:20:27,0,9.1.60.1970
"Spotify has become my number one music source. I really like all the features and benefits it has. I'm using it on a regular basis now versus competition 🙂. Just please, just stopped raising the price please.",5,2026-06-30 18:19:20,0,9.1.60.1970
"Worth it to download, Spotify figures me out an the recommend songs are worth it. I love the music.",5,2026-06-30 18:18:58,0,9.1.60.1970
"I don't know why, but this app is utter garbage. First of all I have the problem, that if an episode of my podcast ends the player will just give up and not do anything anymore. Then I have the problem that sometimes I just don't see any episode on the channel that I want to watch. And then the App does not reliably synchronise with the web player EVER.",1,2026-06-30 18:18:56,0,9.1.60.1970
"the best music and podcast apps ever , up-to-date trending music , all the song is fav.",5,2026-06-30 18:16:00,0,9.1.60.1970
"We paid for family plan and my mom's card had to be blocked because she lost it, now that our family plan is canceled Spotify wants us to pay for a new subscription despite Spotify not giving us the proper instructions. Customer service keeps avoiding our questions, take long to respond, and keep insisting we pay for a new subscription. We have told them our situation yet they still refuse to listen to us.",2,2026-06-30 18:15:35,0,
it's okay for study time👍,5,2026-06-30 18:11:29,0,9.1.34.2060
worst app,2,2026-06-30 18:10:45,0,9.1.60.1970
Spotify are the best. I've made so many public playlist for people to enjoy. no crashes and its worth to subscribe.,5,2026-06-30 18:06:32,0,8.8.96.364
it takes premium to play the soun,1,2026-06-30 18:02:46,0,9.1.60.1970
bagus,5,2026-06-30 18:02:25,0,
im not into podcasts and when i play music from this through my head phones it isn't as loud as youtube music,3,2026-06-30 17:59:25,0,9.0.10.415
Splendid! The ability to create and listen to my sounds is incredible.,5,2026-06-30 17:52:01,0,9.1.56.574
solid fr,3,2026-06-30 17:50:23,0,9.1.56.574
bad 👎 experience,5,2026-06-30 17:49:48,0,9.1.52.1394
this is good but the ads are long and mess with the music,4,2026-06-30 17:47:42,0,9.1.60.1970
the app is very good for people w perimium.. but for broke people like me nah.. i hate listening an ads 3 times in a row after finishing 1 song bro.. a little greedy but fine,3,2026-06-30 17:47:27,0,
It is good Try it now,5,2026-06-30 17:47:26,0,9.1.60.1970
"App rarely works for me don't know why. music won't play, always prompting that I am offline. cant Even see my play like",1,2026-06-30 17:45:27,0,8.8.6.472
best song and best,5,2026-06-30 17:42:12,0,9.1.60.1970
"Spotify used to be good. But the issue is that the mobile app feels like it's becoming unusable for people without premium. earlier today I was listening to an album with 34 songs. Let me repeat, THIRTY FOUR songs, it played two of those songs, then started playing songs by completely different artists. Alongside that, I can't loop songs, I don't know whether thats the mobile version in general, or just a premium thing, but either way, the fact that I can't loop songs on a MUSIC APP is insane.",1,2026-06-30 17:42:04,0,
I'm very much satisfied with personal recommendation of Spotify which is desirable from other music apps,5,2026-06-30 17:41:03,0,9.1.56.574
best music play station 😎😎😎😎😎,5,2026-06-30 17:39:03,0,9.1.58.1567
"What's the purpose of a music app when you can't play the music you want to listen to. I understand profit-making endeavours, but employing measures that force the users to stop using the app altogether, instead of upgrading, doesn't make much sense to me. Users upgrade and subscribe when the premium version offers better experience, not the very basic. If we have to upgrade simply to be able to listen to music of our choice, we'd rather switch.",1,2026-06-30 17:36:29,0,9.1.60.1970
bu,5,2026-06-30 17:34:06,0,9.1.60.1970
this is the best music app,5,2026-06-30 17:33:38,0,9.1.60.1970
bye 😎,5,2026-06-30 17:32:02,0,9.1.60.1970
😇❤️,5,2026-06-30 17:31:40,0,
"I would like to like this app but it gets annoying when u want to skip a song and it says ""get Spotify premium"" I don't have the money for this i would like to be able to skip songs as my as I like",1,2026-06-30 17:30:50,0,9.1.60.1970
anjing spotify xbgi free premium but thank you bray,5,2026-06-30 17:29:52,0,9.1.60.1970
music app of my choice,5,2026-06-30 17:29:34,0,9.1.60.1970
IYKYK <3 Much love and enjoy!,5,2026-06-30 17:28:46,0,9.1.60.1970
my Spotify is not opening i uninstalled and install again but still it is not working properly please take a look on it very soon still it's not working,2,2026-06-30 17:25:56,0,9.1.44.2120
thank you 💕 the day off for you guys,5,2026-06-30 17:25:27,0,9.1.60.1970
simple: amazing,5,2026-06-30 17:23:53,0,9.1.52.1394
Very.good aap❤️♥️,5,2026-06-30 17:22:59,0,9.1.60.1970
awesome y'all.,5,2026-06-30 17:22:37,0,9.1.60.1970
soooo many ads,1,2026-06-30 17:20:19,0,
❣️,5,2026-06-30 17:17:42,0,9.1.52.1394
Very good 👍,5,2026-06-30 17:17:22,0,9.1.60.1970
this apps really fun i can hear my fav song anyway or anytime.,5,2026-06-30 17:17:21,0,
good,4,2026-06-30 17:16:02,0,
"Update: uninstalled then re-installed. issue is still the same. After the update, I'm forced to use the 4x2 widget instead of the 4x1 which I have been using for some time now. When I do use 4x1, a message comes up that I need to use the new widget which is the 4x2. I have to open the app itself to be able to use it because when I tap on the 4x2 widget, it doesn't react. It says it's offline even though I'm connected. It's a bit disappointing and inconvenient.",1,2026-06-30 17:13:22,0,
super 😊👍,5,2026-06-30 17:09:03,0,9.1.60.1970
good,5,2026-06-30 17:03:01,0,9.1.60.1970
yea now I need to pay to play my freaking songs? yea asbtly 1 star,1,2026-06-30 17:00:37,0,9.1.60.1970
"At this point, you might as well rename the app to ""Premium Ads with Occasional Music."" Every update seems to remove another basic feature from the free version. First it was shuffle-only, then endless ads, then you took away the ability to play liked songs properly. Now I can't even choose a specific part of a song or queue the next song I actually want to hear. Apparently, having control over my own music is a Premium feature now. Thanks for making the decision to switch so much easier—at leas",1,2026-06-30 16:57:25,0,9.1.60.1970
very good 😊,5,2026-06-30 16:56:15,0,9.1.60.1970
best music app,4,2026-06-30 16:55:25,0,9.1.58.1567
nice app i like it i can liston my favorate songs on it,5,2026-06-30 16:55:24,0,9.1.60.1970
"its an amazing app but why do you swap originals with scrap off's like kanine berdin's? , i dont get it like its just music that needs to be only organized!",3,2026-06-30 16:52:10,0,9.1.60.1970
ghatiya,1,2026-06-30 16:51:19,0,9.1.60.1970
"Amazing app with a huge collection of music and podcasts. The sound quality is excellent, and I love discovering new songs every day. Highly recommended!!!",5,2026-06-30 16:42:08,0,9.1.52.1394
The best app with good music,5,2026-06-30 16:42:05,0,9.1.42.2058
wow what a app,5,2026-06-30 16:36:14,0,9.1.60.1970
the app is good,4,2026-06-30 16:35:23,0,9.1.60.1970
"Excellent range in music choice, good subscription packages for families with very differing tastes in music and has pretty much all podcasts you can think of. Audiobooks are handy too. But it shuts down mid song after a while. Or play the song, but with no sound. Don't know if it's my phone as I had similar issues with the TIDAL app, but to a greater extent with the latter. Battery is unrestricted and doing a clean reinstall.",4,2026-06-30 16:33:37,0,
"Please, fix your new widget. It doesn't work. It doesn't show the current album cover or the covers of recent albums. It's just terrible.",4,2026-06-30 16:32:41,1,9.1.60.1970
this app is sooo good but adds are playing soooo muchhh and it's kinda irritating,4,2026-06-30 16:32:22,0,9.1.60.1970
it is so good,5,2026-06-30 16:31:26,0,
why is the app so buggy? I have to close and restart the app multiple times to get it to recognize that it's connected to the Internet even though it has been on a solid high quality connection the whole time!,2,2026-06-30 16:28:37,0,9.1.60.1970
goated,5,2026-06-30 16:26:21,0,9.1.60.1970
I been enjoying every moment on Spotify playlist,5,2026-06-30 16:25:08,0,9.1.60.1970
"my experience has always been enjoyable & the level of volume ,base & clarity was impeccable , now I have Bluetooth not giving me that same effect , my volume is very low & I can't seem to adjust as per day instructions, can you suggest something to increase the volume for enjoyable pleasure.",2,2026-06-30 16:22:06,0,9.1.20.1452
"you put the simplest features behind a paywall , theres a reason everyone wants the hacked version on your app , piracy should be your sign to improve",2,2026-06-30 16:21:15,0,9.1.60.1970
trash music application. better you change into quiz app. thats suits you.,1,2026-06-30 16:20:18,0,
"between this and Pandora it's a coin flip, thus maybe a Lil better",5,2026-06-30 16:17:51,0,9.1.58.1567
love it,5,2026-06-30 16:16:36,0,9.0.48.380
Awesome app,5,2026-06-30 16:16:20,0,9.1.60.1970
"The new widget update isn't so great. There are plenty of times when I don't close out the app fully and the widget stays in a buffer. So I have to open the settings and clear the storage and cache to get it to turn on again. Also my app icon seemed to disappear from my apps in my app menu so you can only open it with the widget. I'm not a fan of that either. Also, I liked the smaller widget as well. That's just my personal opinion because I like my home screen a little less bulky looking.",4,2026-06-30 16:15:56,1,9.1.60.1970
excellent,5,2026-06-30 16:15:31,0,9.1.52.1394
the app is slow and often unresponsive. it also erases my downloads when I restart my device. four hours of chatting with support left me with the message that this is a a know issue! That hasn't been fixed!,1,2026-06-30 16:15:18,0,9.1.60.1970
happy,5,2026-06-30 16:10:46,0,
"spotify good,bcs i can hear sound when i playing game",5,2026-06-30 16:10:32,0,9.1.52.1394
"After the last several updates it never closes completely repeatedly showing a notif with ""Spotify is trying to play"", unless you shut down the app manually. The new widget works like garbage, I.e. doesn't work most of the time, just loads endlessly. Besides the new ai features are lameee",1,2026-06-30 16:10:28,0,9.1.60.1970
Amazing,5,2026-06-30 16:09:52,0,9.1.48.1663
"I feel like Spotify premium is mostly useless other than jam and no ads, they should make a no ads/jam only option",3,2026-06-30 16:07:27,0,9.1.60.1970
I'm happy 😊,5,2026-06-30 16:07:12,0,9.1.60.1970
"Spotify is pure musical heaven! The song recommendations are scarily accurate, and the curated playlists for every mood and occasion are absolutely perfect. Podcasts are seamlessly integrated too, making this the ultimate audio entertainment app. My life literally has a soundtrack now.",5,2026-06-30 16:05:31,0,
Fantastic,5,2026-06-30 16:04:52,0,
♾️,5,2026-06-30 16:04:16,0,9.1.60.1970
perfect to use,5,2026-06-30 16:02:11,0,9.1.60.1970
the best,5,2026-06-30 16:01:47,0,9.1.60.1970
obviously really good and not too much ads,4,2026-06-30 15:59:01,0,9.1.60.1970
Exceptional,5,2026-06-30 15:58:32,0,9.1.60.1970
"Spotify used to be my fav app but now it's the most annoying app in my phone like wym I can't skip songs, why the hell I have to wait tmrw just to skip the song I want to listen omg soo annoying and the ads are getting out of the hands i listen to one song and gotta listen to 4 long adds to listen another",1,2026-06-30 15:56:33,0,9.1.60.1970
Junk,1,2026-06-30 15:55:47,0,
notification system is very poor,2,2026-06-30 15:54:19,0,9.1.52.1394
They want premium for download songs,1,2026-06-30 15:51:06,0,9.0.66.655
I love Spotify!!,5,2026-06-30 15:49:03,0,9.1.60.1970
"keeps crashing, unable to open. third time I've had to uninstall and reinstall it.",2,2026-06-30 15:47:13,0,9.1.60.1970
good,5,2026-06-30 15:46:59,0,
very good,5,2026-06-30 15:46:22,0,9.1.60.1970
I just love it! My best App so far...,5,2026-06-30 15:44:09,0,9.1.60.1970
DIET,5,2026-06-30 15:43:18,0,9.1.42.2058
good,5,2026-06-30 15:37:09,0,9.1.58.1567
"Spotify is very good, definitely try!",4,2026-06-30 15:34:10,0,9.1.60.1970
because the songs are nice to hear 😄😄,5,2026-06-30 15:32:17,0,9.1.60.1970
travis scott is the goat,5,2026-06-30 15:31:31,0,9.1.60.1970
👍,5,2026-06-30 15:28:21,0,9.1.60.1970
"I mean the ads are alright, the music quality is also good. would recommend, I don't think the premium is worth for it's price. but it's optional, so I won't let it affect this review. 10/10",5,2026-06-30 15:26:19,0,9.1.60.1970
is a very bad app this any sony can can move need supcrition need click on sony get supcrition,1,2026-06-30 15:24:30,0,9.1.60.1970
Music for everyone,5,2026-06-30 15:21:54,0,9.1.60.1970
"I use Spotify occasionally and personally I didn't experience many ads while I used this app. The quality is really clear , the ability to play songs outside the app is really awesome too , combined with decent ad breaks, it's a really viable option for listening.",5,2026-06-30 15:17:07,0,9.1.60.1970
disaster after 3 months 99% music dissapeared,1,2026-06-30 15:16:39,0,9.1.60.1970
perfect for every situation,5,2026-06-30 15:16:00,0,9.1.52.1394
Very good app 💯,5,2026-06-30 15:15:58,0,
very very bad and full time ads not playing song in free only money subscription iam uninstall the app,1,2026-06-30 15:15:52,0,
good,5,2026-06-30 15:13:40,0,9.1.60.1970
"they deleted the 15s song preview from free version, was that really necessary? even if I can listen to my chosen song it's only available for a few of them and then ""explore premium"" pff no thanks lmao. the bare minimum and they can't even do that, kinda gredy if you ask me update: after updating the app suddenly the small preview on the bottom with the song and the bar disappeared, also from my notification window. what the hell. also saving song option doesn't have SAVE button. idiots",1,2026-06-30 15:12:07,2,9.1.60.1970
best of the best,5,2026-06-30 15:11:52,0,9.1.60.1970
